Year,Type,Original funding cluster,Original funding cluster description,Original part of funding cluster,2020 funding cluster,2020 funding cluster description,Broad field of education,Student enrolments: commencing students,Student enrolments: not commencing students,Award course completions,Study area name,FTE +1yr (%),Overall Empl. +1yr (%),Median starting salary +1yr ($),Part funding cluster,Unit description,Field of education code,Maximum student contribution amounts,Commonwealth contribution amounts
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"19,008","33,852","11,139",Creative Arts,52.2,81.3,50.1,Creative arts,Graphic and Design Studies,1005,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"19,008","33,852","11,139",Creative Arts,52.2,81.3,50.1,Creative arts,Other Creative Arts,1099,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"19,008","33,852","11,139",Creative Arts,52.2,81.3,50.1,Creative arts,Performing Arts,1001,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"19,008","33,852","11,139",Creative Arts,52.2,81.3,50.1,Creative arts,Visual Arts and Crafts,1003,"$6,349","$12,641"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Dentistry,86.8,94,83.7,"Dentistry, medicine or veterinary science",Dental Studies,607,"$10,596","$22,809"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Aerospace Engineering and Technology,315,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Automotive Engineering and Technology,305,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Civil Engineering,309,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Electrical and Electronic Engineering and Technology,313,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Geomatic Engineering,311,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Manufacturing Engineering and Technology,301,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Maritime Engineering and Technology,317,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Mechanical and Industrial Engineering and Technology,307,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Other Engineering and Related Technologies,399,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"13,723","38,103","7,732",Engineering,83.1,88.2,65,"Science, Engineering or surveying",Process and Resources Engineering,303,"$9,050","$17,971"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Behavioural science or social studies,Human Movement,69903,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Community Health,61309,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Complementary Therapies,619,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Environmental Health,61303,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Epidemiology,61311,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",First Aid,69907,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Health not elsewhere classified,69999,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Health Promotion,61307,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Massage Therapy,61711,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Occupational Health and Safety,61301,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Other Health,69900,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Public Health,61300,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Public Health not elsewhere classified,61399,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Rehabilitation Therapies,61700,"$9,050","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,"Computing, built environment or other health",Rehabilitation Therapies not elsewhere classified,61799,"$9,050","$10,278"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Audiology,61709,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Chiropractic and Osteopathy,61705,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Indigenous Health,61305,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Nutrition and Dietetics,69901,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Optical Science,609,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Paramedical Studies,69905,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Podiatry,61713,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Radiography,615,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Health Services and Support,72.4,,,Allied health,Speech Pathology,61707,"$9,050","$12,641"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,English,English Language,91501,"$6,349","$5,809"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Humanities,Archaeology,90307,"$6,349","$5,809"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Humanities,History,90305,"$6,349","$5,809"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Humanities,Indigenous Studies,90311,"$6,349","$5,809"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Humanities,Language and Literature,91500,"$6,349","$5,809"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Humanities,Language and Literature not elsewhere classified,91599,"$6,349","$5,809"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Humanities,Linguistics,91521,"$6,349","$5,809"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Humanities,Literature,91523,"$6,349","$5,809"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Humanities,Philosophy and Religious Studies,917,"$6,349","$5,809"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,Anthropology,90303,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,Gender Specific Studies,90313,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,Human Geography,90309,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,"Librarianship, Information Management and Curatorial Studies",913,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,Other Society and Culture,999,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,Political Science and Policy Studies,901,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,Sociology,90301,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,Studies in Human Society,90300,"$6,349","$10,278"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Behavioural science or social studies,Studies in Human Society not elsewhere classified,90399,"$6,349","$10,278"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Australian Indigenous Languages,91517,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Eastern Asian Languages,91515,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Eastern European Languages,91507,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Northern European Languages,91503,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Southeast Asian Languages,91513,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Southern Asian Languages,91511,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Southern European Languages,91505,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Southwest Asian and North African Languages,91509,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010","Humanities, Culture and Social Sciences",64.3,83.8,58.4,Languages,Translating and Interpreting,91519,"$6,349","$12,641"
2017,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Society and Culture,"67,221","131,721","32,010",Law and Paralegal Studies,77.2,87.9,61.4,"Law, accounting, administration, economics, commerce",Law,909,"$10,596","$2,089"
2017,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"67,221","131,721","32,010",Law and Paralegal Studies,77.2,87.9,61.4,Humanities,Justice and Law Enforcement,911,"$6,349","$5,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,Agriculture,Pathology,60113,"$9,050","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Anaesthesiology,60111,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",General Medicine,60101,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",General Practice,60119,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Internal Medicine,60117,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Medical Studies,60100,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Medical Studies not elsewhere classified,60199,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Obstetrics and Gynaecology,60107,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Paediatrics,60109,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Psychiatry,60105,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Radiology,60115,"$10,596","$22,809"
2017,Old,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"53,063","94,918","27,403",Medicine,94.9,94.3,73,"Dentistry, medicine or veterinary science",Surgery,60103,"$10,596","$22,809"
2017,Old,Funding cluster 6,Nursing,Nursing,Funding cluster 6,Nursing,Health,"53,063","94,918","27,403",Nursing,78.7,91.5,61.6,Nursing,Nursing,603,"$6,349","$14,113"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Pharmacy,97.2,97.3,47,Allied health,Pharmacy,605,"$9,050","$12,641"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"67,221","131,721","32,010",Psychology,64.5,85.3,60,Behavioural science or social studies,Behavioural Science,907,"$6,349","$10,278"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"67,221","131,721","32,010",Psychology,64.5,85.3,60,Clinical psychology,Clinical psychology,907012,"$6,349","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Rehabilitation,89.3,95.8,62.6,Allied health,Occupational Therapy,61703,"$9,050","$12,641"
2017,Old,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"53,063","94,918","27,403",Rehabilitation,89.3,95.8,62.6,Allied health,Physiotherapy,61701,"$9,050","$12,641"
2017,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health","Mathematics, statistics, computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Natural and Physical Sciences,"30,606","55,140","16,601",Science and Mathematics,64.6,82.9,61,Mathematics or statistics,Mathematical Sciences,101,"$9,050","$10,278"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"30,606","55,140","16,601",Science and Mathematics,64.6,82.9,61,"Science, Engineering or surveying",Biological Sciences,109,"$9,050","$17,971"
2017,Old,Funding cluster 7,"Engineering, science, surveying","Science, Engineering or surveying",Funding cluster 7,"Engineering, science, surveying",Natural and Physical Sciences,"30,606","55,140","16,601",Science and Mathematics,64.6,82.9,61,"Science, Engineering or surveying",Chemical Sciences,105,"$9,050","$17,971"
